STUDYID,Theorystandardized_corrected,IVConstruct,IVVariableLabel,IVMean,IVSD,Stakeholdergroup,Stakeholdergroupsubcategory,PerformanceVariableLabel,PerformanceMean,PerformanceSD,PerformanceIVCorrelation,PerformanceIVCorrelation_corrected,Nofobs,Noffirms
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,EMP,EMP3,Job description,2.8,0.59,0.43,0.43,465,465
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,EMP,EMP3,Participation/Voice,2.59,0.68,0.4,0.4,465,465
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,EMP,EMP3,Profit Sharing,1.69,0.82,0.13,0.13,465,465
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,EMP,EMP3,Training,2.57,0.75,0.46,0.46,465,465
adg08hrm,Strategic HRM theories: Configurational view,Strategic HRM practices,Results-oriented appraisal,2.7,0.82,INV,INV3,Financial performance,2.85,0.68,0.2,0.2,465,465
afglmm10hrm,Resource-based view,Firm Age,Age,3.279,0.729,CUS,CUS4,Innovation,,,-0.176,-0.176,132,132
afglmm10hrm,Resource-based view,Firm Age,Age,3.279,0.729,EMP,EMP1,Turnover,,,-0.241,0.241,132,132
afglmm10hrm,Resource-based view,Firm age,Age,3.279,0.729,INV,INV1,Productivity,,,0.067,0.067,132,132
ap81asq,Social exchange theory,Organizational Commitment,Organizational commitment,,,EMP,EMP1,Absenteeism,,,0.27,0.27,24,24
ap81asq,Social exchange theory,Organizational Commitment,Organizational commitment,,,EMP,EMP1,Commitment to stay,,,,,24,24
ap81asq,Social exchange theory,Organizational Commitment,Organizational commitment,,,EMP,EMP1,Intent to quit,,,-0.36,0.36,24,24
ap81asq,Social exchange theory,Organizational Commitment,Organizational commitment,,,EMP,EMP1,Separation rate,,,-0.48,0.48,24,24
ap81asq,Social exchange theory,Organizational Commitment,Organizational commitment,,,INV,INV1,Operating expense/employee,,,-0.21,0.21,24,24
ap81asq,Social exchange theory,Organizational Commitment,Organizational commitment,,,INV,INV1,Operating expense/revenue vehicle hour,,,-0.28,0.28,24,24
atc05ijhrm,Agency theory,Ownership,Ownership,0.79,0.41,INV,INV3,Mgt & Org skills,,,-0.09,-0.09,128,128
atc05ijhrm,Agency theory,Ownership,Ownership,0.79,0.41,INV,INV3,Total performance,,,-0.06,-0.06,128,128
atc05ijhrm,Resource-based view,Firm experience,log life,3.41,0.66,EMP,EMP3,Appraisal,3.5,0.68,-0.11,-0.11,128,128
atc05ijhrm,Resource-based view,Firm experience,Log life,3.41,0.66,EMP,EMP3,Appraisal,3.5,0.68,-0.11,-0.11,128,128
atc05ijhrm,Resource-based view,Firm experience,Log life,3.41,0.66,EMP,EMP3,Compensation,3.4,0.65,0.03,0.03,128,128
atc05ijhrm,Resource-based view,Firm experience,log life,3.41,0.66,EMP,EMP3,Compensation,3.4,0.65,0.03,0.03,128,128
atc05ijhrm,Resource-based view,Firm experience,log life,3.41,0.66,EMP,EMP3,Industrial relations,4.04,0.78,-0.01,-0.01,128,128
atc05ijhrm,Resource-based view,Firm experience,Log life,3.41,0.66,EMP,EMP3,Industrial relations,4.04,0.78,-0.01,-0.01,128,128
atc05ijhrm,Resource-based view,Firm experience,Log life,3.41,0.66,EMP,EMP3,Training,3.47,0.8,-0.28,-0.28,128,128
atc05ijhrm,Resource-based view,Firm experience,log life,3.41,0.66,EMP,EMP3,Training,3.47,0.8,-0.28,-0.28,128,128
atc05ijhrm,Resource-based view,Operational length,Log life,3.41,0.66,INV,INV3,Mgt & Org skills,,,-0.02,-0.02,128,128
atc05ijhrm,Resource-based view,Operational length,Log life,3.41,0.66,INV,INV3,Past performance,3.66,0.88,-0.04,-0.04,128,128
atc05ijhrm,Resource-based view,Operational length,Log life,3.41,0.66,INV,INV3,Total performance,,,-0.21,-0.21,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Staffing,3.49,0.75,EMP,EMP3,Appraisal,3.5,0.68,0.84,0.84,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Staffing,3.49,0.75,EMP,EMP3,Compensation,3.4,0.65,0.52,0.52,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Staffing,3.49,0.75,EMP,EMP3,Industrial relations,4.04,0.78,0.49,0.49,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Staffing,3.49,0.75,EMP,EMP3,Training,3.47,0.8,0.74,0.74,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Staffing,3.49,0.75,EMP,EMP3,Union influence,1.72,3.9,-0.09,-0.09,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Strategic integration,2.71,0.62,EMP,EMP3,Appraisal,3.5,0.68,0.5,0.5,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Strategic integration,2.71,0.62,EMP,EMP3,Compensation,3.4,0.65,0.34,0.34,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Strategic integration,2.71,0.62,EMP,EMP3,Industrial relations,4.04,0.78,0.27,0.27,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Strategic integration,2.71,0.62,EMP,EMP3,Training,3.47,0.8,0.44,0.44,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Strategic integration,2.71,0.62,EMP,EMP3,Union influence,1.72,3.9,-0.19,-0.19,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Staffing,3.49,0.75,INV,INV3,Past performance,3.66,0.88,0.34,0.34,128,128
atc05ijhrm,Strategic HRM theories: Configurational view,The strategic management of human resources (HR),Strategic integration,2.71,0.62,INV,INV3,Past performance,3.66,0.88,0.11,0.11,128,128
ay14ijbs,Competitive advantages,Reverse Logistics Adoption Level,RL_Level,2.36,1.168,INV,INV3,Performance,,,0.191,0.191,101,101
ay14ijbs,Competitive advantages,Reverse Logistics Adoption Level,RL_Level,3.12,1.249,INV,INV3,Performance,,,0.191,0.191,101,101
ay14ijbs,Competitive advantages,Reverse Logistics Adoption Level,RL_Level,2.74,1.18,INV,INV3,Performance,,,0.191,0.191,101,101
ay14ijbs,Competitive advantages,Reverse Logistics Adoption Level,RL_Level,2.35,1.104,INV,INV3,Performance,,,0.191,0.191,101,101
ay14ijbs,Resource-based view,Corporate citizenship pressure ,CorpCitz,,,INV,INV3,Performance,,,0.154,0.154,101,101
ay14ijbs,Resource-based view,Financial/Competitors pressure,FinCom,,,INV,INV3,Performance,,,0.216,0.216,101,101
azw06meq,Institutional theory,Process design culture, Process design culture,3.81,0.71,CUS,CUS2,Perceived customer satisfaction,4.08,0.7,0.5,0.5,45,45
azw06meq,Institutional theory,Implementation cost of ISO 14001 ,Implementation cost of ISO 14001 ,3.79,0.72,CUS,CUS2,Perceived customer satisfaction,4.08,0.7,0.64,0.64,45,45
azw06meq,Institutional theory,Past experience of ISO 9000,Past experience of ISO 9000,4.03,0.73,CUS,CUS2,Perceived customer satisfaction,4.08,0.7,0.51,0.51,45,45
azw06meq,Institutional theory,Performance tracking,Performance tracking,4.22,0.79,CUS,CUS2,Perceived customer satisfaction,4.08,0.7,0.36,0.36,45,45
azw06meq,Institutional theory,Product acceptability,Product acceptability,4.17,1.13,CUS,CUS2,Perceived customer satisfaction,4.08,0.7,0.33,0.33,45,45
azw06meq,Institutional theory,Supplier demand culture,Supplier demand culture,4.03,0.97,CUS,CUS2,Perceived customer satisfaction,4.08,0.7,0.48,0.48,45,45
azw06meq,Institutional theory,Process design culture, Process design culture,3.81,0.71,SOC,SOC4,Perceived economic/environmental impact,3.52,0.67,0.71,0.71,45,45
azw06meq,Institutional theory,Implementation cost of ISO 14001 ,Implementation cost of ISO 14001 ,3.79,0.72,SOC,SOC4,Perceived economic/environmental impact,3.52,0.67,0.75,0.75,45,45
azw06meq,Institutional theory,Past experience of ISO 9000,Past experience of ISO 9000,4.03,0.73,SOC,SOC4,Perceived economic/environmental impact,3.52,0.67,0.24,0.24,45,45
azw06meq,Institutional theory,Performance tracking,Performance tracking,4.22,0.79,SOC,SOC4,Perceived economic/environmental impact,3.52,0.67,0.31,0.31,45,45
azw06meq,Institutional theory,Product acceptability,Product acceptability,4.17,1.13,SOC,SOC4,Perceived economic/environmental impact,3.52,0.67,0.31,0.31,45,45
azw06meq,Institutional theory,Supplier demand culture,Supplier demand culture,4.03,0.97,SOC,SOC4,Perceived economic/environmental impact,3.52,0.67,0.44,0.44,45,45
azw06meq,Resource-based view,Past experience of ISO 9000,Past experience of ISO 9000,4.03,0.73,SOC,SOC3,Documentation orientation,4.54,0.56,0.29,0.29,45,45
azw06meq,Resource-based view,Past experience of ISO 9000,Past experience of ISO 9000,4.03,0.73,SOC,SOC3,Environmental management,3.47,0.83,0.24,0.24,45,45
azw06meq,Resource-based view,Past experience of ISO 9000,Past experience of ISO 9000,4.03,0.73,SOC,SOC3,Management commitment,3.92,0.68,0.25,0.25,45,45
azw06meq,Total quality management theory,Process design culture, Process design culture,3.81,0.71,SOC,SOC3,Documentation orientation,4.54,0.56,0.56,0.56,45,45
azw06meq,Total quality management theory,Process design culture, Process design culture,3.81,0.71,SOC,SOC3,Environmental management,3.47,0.83,0.82,0.82,45,45
azw06meq,Total quality management theory,Process design culture, Process design culture,3.81,0.71,SOC,SOC3,Management commitment,3.92,0.68,0.7,0.7,45,45
b04ilr,Social exchange theory,Average tenure (employees),Average tenure (employees),4.64,2.3,CUS,CUS4,Products,,,,,330,160
b04ilr,Social exchange theory,Manager's tenure in branch,Manager's tenure in branch,4.02,3.61,CUS,CUS4,Products,,,,,330,160
b04ilr,Social exchange theory,Average tenure (employees),Average tenure (employees),4.64,2.3,EMP,EMP1,Cooperation,,,,,330,160
b04ilr,Social exchange theory,Manager's tenure in branch,Manager's tenure in branch,4.02,3.61,EMP,EMP1,Cooperation,,,,,330,160
b04ilr,Social exchange theory,Average tenure (employees),Average tenure (employees),4.64,2.3,EMP,EMP2,Climate,,,,,330,160
b04ilr,Social exchange theory,Manager's tenure in branch,Manager's tenure in branch,4.02,3.61,EMP,EMP2,Climate,,,,,330,160
b04ilr,Social exchange theory,Average tenure (employees),Average tenure (employees),4.64,2.3,EMP,EMP3,Supervisor Accessible,,,,,330,160
b04ilr,Social exchange theory,Manager's tenure in branch,Manager's tenure in branch,4.02,3.61,EMP,EMP3,Supervisor Accessible,,,,,330,160
b99ilr,Motivation theories,Group self-regulation ,Group self-regulation ,2.258,0.591,CUS,CUS4,Discretion,2.791,0.882,0.237,0.237,330,330
b99ilr,Motivation theories,Group self-regulation ,Group self-regulation ,2.258,0.591,EMP,EMP3,Advancement opportunities,3.128,1.242,0.053,0.053,330,330
b99ilr,Motivation theories,Group self-regulation ,Group self-regulation ,2.258,0.591,EMP,EMP3,Coaching,3.737,0.804,-0.004,-0.004,330,330
b99ilr,Motivation theories,Group self-regulation ,Group self-regulation ,2.258,0.591,EMP,EMP3,Job Insecurity,4.373,0.988,0.11,-0.11,330,330
b99ilr,Motivation theories,Group self-regulation ,Group self-regulation ,2.258,0.591,INV,INV1,Ln Earnings,9.539,0.298,-0.163,-0.163,330,330
b99ilr,Social-technical systems theory,External coordination ,External coordination ,2.282,1.419,CUS,CUS4,Discretion,2.791,0.882,0.289,0.289,330,330
b99ilr,Social-technical systems theory,External coordination ,External coordination ,2.282,1.419,CUS,CUS4,Quality,4.022,0.646,0.05,0.05,330,330
b99ilr,Social-technical systems theory,Group self-regulation ,Group self-regulation ,2.258,0.591,CUS,CUS4,Quality,4.022,0.646,0.263,0.263,330,330
b99ilr,Social-technical systems theory,Self-managed team meetings ( SMT  time),Self-managed team meetings ( SMT  time),,,CUS,CUS4,Quality,4.022,0.646,0.151,0.151,330,330
b99ilr,Social-technical systems theory,SMT Membership,SMT Membership,0.39,0.488,CUS,CUS4,Quality,4.022,0.646,0,0,330,330
b99ilr,Total quality management theory,Total quality meetings (TQM time) ,Total quality meetings (TQM time) ,,,CUS,CUS4,Discretion,2.791,0.882,-0.056,-0.056,330,330
b99ilr,Total quality management theory,Total quality meetings (TQM time) ,Total quality meetings (TQM time) ,,,CUS,CUS4,Quality,4.022,0.646,0.022,0.022,330,330
b99ilr,Total quality management theory,Total quality meetings (TQM time) ,Total quality meetings (TQM time) ,,,EMP,EMP3,Advancement opportunities,3.128,1.242,-0.029,-0.029,330,330
b99ilr,Total quality management theory,Total quality meetings (TQM time) ,Total quality meetings (TQM time) ,,,EMP,EMP3,Coaching,3.737,0.804,-0.092,-0.092,330,330
b99ilr,Total quality management theory,Total quality meetings (TQM time) ,Total quality meetings (TQM time) ,,,EMP,EMP3,Job Insecurity,4.373,0.988,-0.03,0.03,330,330
b99ilr,Total quality management theory,Total quality meetings (TQM time) ,Total quality meetings (TQM time) ,,,INV,INV1,Ln Earnings,9.539,0.298,-0.034,-0.034,330,330
bb95jibs,Strategic HRM theories: Configurational view,HRM Outcome Measures,Employee Morale,3.21,1.08,EMP,EMP1,Management turnover (Annual %),10.66,16.84,-0.03,0.03,64,64
bb95jibs,Strategic HRM theories: Configurational view,HRM Outcome Measures,Employee Morale,3.21,1.08,EMP,EMP1,Top management turnover (Annual %),5.87,11.72,-0.43,0.43,64,64
bb95jibs,Strategic HRM theories: Configurational view,HRM Outcome Measures,Employee Morale,3.21,1.08,EMP,EMP3,Management promotion (Annual %),10.66,16.84,0.33,0.33,64,64
bb95jibs,Strategic HRM theories: Configurational view,HRM Outcome Measures,Employee Morale,3.21,1.08,EMP,EMP3,Top management promotion (Annual %),8.6,17.89,0.21,0.21,64,64
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,CUS,CUS2,Customer satisfaction,,,-0.01,-0.01,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP1,Quit rate,,,-0.12,0.12,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP1,Total turnover,,,-0.15,0.15,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Commission pay,,,0.02,0.02,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Dismissal rate,,,-0.13,0.13,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Full-time and permanent,,,0.28,0.28,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Internal mobility opportunities,,,0.15,0.15,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Investments and inducements index,,,0.31,0.31,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Monitoring intensity,,,-0.24,0.24,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Pensions,,,0.11,0.11,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Relative pay,,,0.17,0.17,339,339
bc11amj,Agency theory,Ownership,In-house center,0.86,0.35,EMP,EMP3,Worker discretion,,,0.18,0.18,339,339
bc11amj,Motivation theories,Average education,Average education,13.37,1.56,EMP,EMP3,Pension,,,0.08,0.08,339,339
bc11amj,Motivation theories,Average education,Average education,13.37,1.56,EMP,EMP3,Relative pay,,,0.52,0.52,339,339
bc11amj,Motivation theories,Average education,Average education,13.37,1.56,EMP,EMP3,Worker discretion,,,0.39,0.39,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,CUS,CUS2,Customer satisfaction,,,0.07,0.07,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,CUS,CUS2,Customer satisfaction,,,0.02,0.02,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,CUS,CUS2,Customer satisfaction,,,0.1,0.1,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP1,Quit rate,,,-0.16,0.16,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP1,Total turnover,,,-0.19,0.19,339,339
bc11amj,Resource-based view,Firm Age,Age,14.18,13.95,EMP,EMP1,Total turnover,,,-0.15,0.15,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP1,Quit rate,,,-0.05,0.05,339,339
bc11amj,Resource-based view,Average education,Average education,13.37,1.56,EMP,EMP1,Total turnover,,,-0.22,0.22,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP1,Quit rate,,,-0.2,0.2,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Commission pay,,,0.15,0.15,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Dismissal rate,,,-0.15,0.15,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Full-time and permanent,,,0.11,0.11,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Internal mobility opportunities,,,0.1,0.1,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Investments and inducements index,,,0.18,0.18,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Monitoring intensity,,,-0.2,0.2,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Pensions,,,0.06,0.06,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Performance-enhancing practices index,,,0.01,0.01,339,339
bc11amj,Resource-based view,human capital, initial training,0.35,0.4,EMP,EMP3,Worker discretion,,,0.13,0.13,339,339
bc11amj,Resource-based view,Firm Age,Age,14.18,13.95,EMP,EMP3,performance-enhancing incentives index,,,-0.16,-0.16,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Commission pay,,,-0.06,-0.06,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Dismissal rate,,,-0.23,0.23,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Full-time and permanent,,,0.16,0.16,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Internal mobility opportunities,,,0.05,0.05,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Investments and inducements index,,,0.14,0.14,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Monitoring intensity,,,-0.19,0.19,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Pensions,,,0.07,0.07,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Relative pay,,,0.03,0.03,339,339
bc11amj,Resource-based view,Age,Age of establishment,14.18,13.95,EMP,EMP3,Worker discretion,,,0.02,0.02,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP3,Commission pay,,,0.18,0.18,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP3,Dismissal rate,,,-0.16,0.16,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP3,Full-time and permanent,,,0.21,0.21,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP3,Internal mobility opportunities,,,0.12,0.12,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP3,Investments and inducements index,,,0.38,0.38,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP3,Monitoring intensity,,,-0.33,0.33,339,339
bc11amj,Resource-based view,human capital,average education,13.37,1.56,EMP,EMP3,Performance-enhancing practices index,,,-0.06,-0.06,339,339
bc11amj,Social-technical systems theory,Problem-solving groups,Problem-solving groups,33.8,37.07,CUS,CUS2,Customer satisfaction,,,0.11,0.11,339,339
bc11amj,Social-technical systems theory,Self-directed teams,Self-directed teams,16.02,33.12,CUS,CUS2,Customer satisfaction,,,0.1,0.1,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,CUS,CUS2,Customer satisfaction,,,0.16,0.16,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,CUS,CUS2,Customer satisfaction,,,0.11,0.11,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,CUS,CUS2,Customer satisfaction,,,0.1,0.1,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP1,Quit rate,,,-0.28,0.28,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP1,Total turnover,,,-0.29,0.29,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP1,Quit rate,,,-0.23,0.23,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,EMP,EMP1,Quit rate,,,-0.12,0.12,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,EMP,EMP1,Total turnover,,,-0.1,0.1,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Commission pay,,,0.12,0.12,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Dismissal rate,,,-0.18,0.18,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Full-time and permanent,,,0.33,0.33,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Internal mobility opportunities,,,0.19,0.19,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Investments and inducements index,,,0.38,0.38,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Monitoring intensity,,,-0.41,0.41,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Pensions,,,0.02,0.02,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Performance-enhancing practices index,,,-0.16,-0.16,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Recent layoffs,,,0.09,0.09,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Union represented,,,-0.12,-0.12,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,High involvement work index,-0.11,0.67,EMP,EMP3,Worker discretion,,,0.71,0.71,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Commission pay,,,-0.04,-0.04,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Dismissal rate,,,-0.14,0.14,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Full-time and permanent,,,0.21,0.21,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Internal mobility opportunities,,,0.22,0.22,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Investments and inducements index,,,0.29,0.29,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Monitoring intensity,,,-0.27,0.27,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Pensions,,,0.06,0.06,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Performance-enhancing practices index,,,-0.19,-0.19,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Recent layoffs,,,0.1,0.1,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Problem-solving groups,33.8,37.07,EMP,EMP3,Union represented,,,-0.09,-0.09,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,EMP,EMP3,Commission pay,,,0.09,0.09,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,EMP,EMP3,Dismissal rate,,,-0.04,0.04,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,EMP,EMP3,Full-time and permanent,,,0.19,0.19,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,EMP,EMP3,Internal mobility opportunities,,,0.08,0.08,339,339
bc11amj,Strategic HRM theories: Configurational view,High-involvement work organization,Self-directed teams,16.02,33.12,EMP,EMP3,Investments and inducements index,,,0.16,0.16,339,339
